number,title,status,section,equation,variables,intuition,relevance
82,Cross-Sectional Momentum Portfolio Return,ok,Deep Momentum & Cross-Sectional Momentum,"r_CSM = (1/N) sum X_i^t (sigma_tgt/sigma_i^t) r^i_{t,t+1}","X_i^t = trading signal / position for security i  ;  N = number of assets  ;  sigma_tgt / sigma^i_t = volatility scaling  ;  r^i_{t,t+1} = future return",Average volatility-scaled returns across assets chosen by a cross-sectional signal.,Foundation of cross-sectional momentum.
83,Cross-Sectional Momentum Score Calculation,ok,Deep Momentum & Cross-Sectional Momentum,Y_i^t = f(u_i^t),Y_i^t = score for asset i  ;  u_i^t = input vector / features  ;  f = predictive model,Compute a score for every asset in the universe.,First step in ranking-based portfolio construction.
84,Cross-Sectional Momentum Score Ranking,ok,Deep Momentum & Cross-Sectional Momentum,Z_i^t = R(Y_i^t),Z_i^t = rank of asset i  ;  R(.) = ranking operator  ;  Y_i^t = score,Sort assets by predicted score.,Converts model outputs into tradable ranks.
85,Cross-Sectional Momentum Security Selection,ok,Deep Momentum & Cross-Sectional Momentum,X = -1 if Z<=0.1N; +1 if Z>0.9N; else 0,X_i^t = position signal (+1 long / -1 short / 0 flat)  ;  Z_i^t = rank of asset i  ;  N = number of assets,"Short the bottom decile, long the top decile, and ignore the middle.",Common cross-sectional momentum construction.
86,Raw Cumulative Return Score,ok,Deep Momentum & Cross-Sectional Momentum,"Y_i^t = r^i_{t-252, t}","Y_i^t = asset score  ;  r^i_{t-252,t} = prior 252-day (12-month) return",Use the past 12-month return as the ranking score.,Classical momentum factor.
87,Learning-to-Rank Score Calculation,ok,Deep Momentum & Cross-Sectional Momentum,Y_i^t = f(u_i^t; theta),Y_i^t = predicted score / target  ;  u_i^t = features  ;  theta = model parameters,Use a trained model rather than a raw momentum heuristic to score assets.,Regress-then-rank portfolio construction.
88,Volatility-Normalized MSE Loss for Score Training,ok,Deep Momentum & Cross-Sectional Momentum,L = (1/N) sum (Y_i^t - target_i^t)^2,"target_i^t = chosen target (e.g. vol-normalized future return)  ;  Y_i^t = predicted score  ;  Omega = training universe, N = sample size",Train scores to match future realized target values.,Supervised learning for cross-sectional ranking.
89,Pointwise Learning-to-Rank Loss,ok,Deep Momentum & Cross-Sectional Momentum,"L_pairwise = sum l( f(x_i,x_j) - y_i )^2","x_i, x_j = paired assets / examples  ;  f = pairwise scoring function  ;  l = loss function  ;  y_i = target preference / label",Train the model to learn which asset should rank above another.,Learning-to-rank methods for portfolio construction.
90,HAR Model for Realized Volatility,ok,Volatility Forecasting & Portfolio Optimization,"v_{d,t+1} = b0 + b1 v_d + b2 v_w + b3 v_m + eps","v_{d,t+1} = next-day volatility  ;  v_{d,t} = daily volatility  ;  v_{w,t} = weekly volatility  ;  v_{m,t} = monthly volatility  ;  beta = coefficients, eps_t = error","Forecast next volatility using daily, weekly, and monthly components.",Popular realized-volatility forecasting model (Heterogeneous Autoregressive).
91,Realized Volatility Estimate,ok,Volatility Forecasting & Portfolio Optimization,RV_t = sqrt( sum_i (r_i^t)^2 ),RV_t = realized volatility for day t  ;  r_i^t = high-frequency return in intraday interval i  ;  m = number of intraday intervals,Estimate volatility by summing squared intraday returns.,Uses high-frequency data for sharper volatility estimation.
92,HEAVY Model,ok,Volatility Forecasting & Portfolio Optimization,"v_{d,t+1} = a + b v_{d,t} + g RV_t + eps","v_{d,t+1} = forecast volatility  ;  v_{d,t} = lagged volatility  ;  RV_t = realized volatility  ;  alpha, beta, gamma = model parameters  ;  eps_t = error",Add realized-volatility information to improve volatility forecasts.,Captures short-term volatility from high-frequency data (HEAVY).
93,Mean-Variance Portfolio Optimization,ok,Volatility Forecasting & Portfolio Optimization,"max w^T r  s.t. w^T S w = sigma0^2, w^T 1 = 1","r_p = portfolio expected return  ;  w = portfolio weights  ;  r = vector of expected asset returns  ;  Sigma = covariance matrix  ;  sigma_{p,0}^2 = target risk level, 1 = vector of ones",Maximize expected return while holding risk at a target and fully investing capital.,Classical Markowitz portfolio optimization.
94,Portfolio Variance / Risk Minimization,ok,Volatility Forecasting & Portfolio Optimization,"min w^T S w  s.t. w^T r = r0, w^T 1 = 1","sigma_p^2 = portfolio variance  ;  w = weights, Sigma = covariance matrix  ;  r_{p,0} = target expected return  ;  w^T 1 = 1 = full-investment constraint",Find the lowest-risk portfolio that still hits a desired return.,Portfolio construction under constraints.
95,Mean-Variance Lagrangian,ok,Volatility Forecasting & Portfolio Optimization,L = w^T S w + lam(r0 - w^T r) + gam(1 - w^T 1),"lambda, gamma = Lagrange multipliers  ;  w = weights, Sigma = covariance, r = expected returns  ;  r_{p,0} = target return",Convert the constrained optimization into an unconstrained one.,Analytical route to the optimal mean-variance portfolio.
96,First-Order Conditions for Mean-Variance,ok,Volatility Forecasting & Portfolio Optimization,2 S w - lam r - gam 1 = 0; constraints = 0,"Sigma = covariance matrix, w = weights  ;  lambda, gamma = Lagrange multipliers  ;  r = expected returns, 1 = ones vector",Solve for the optimal portfolio by setting all gradients to zero.,Closed-form constrained optimization conditions.
97,Diversification Ratio,ok,Volatility Forecasting & Portfolio Optimization,DR = (w^T sigma) / sqrt(w^T S w),DR = diversification ratio  ;  w = weights  ;  sigma = vector of individual asset volatilities  ;  Sigma = covariance matrix,Compare weighted standalone risk to the actual (lower) portfolio risk.,Measures the diversification benefit of a portfolio.
98,Maximum Diversification Optimization,ok,Volatility Forecasting & Portfolio Optimization,max (w^T sigma)/sqrt(w^T S w)  s.t. w^T 1 = 1,"w = weights, sigma = volatility vector  ;  Sigma = covariance matrix",Choose weights that maximize the diversification ratio.,Alternative to mean-variance optimization.
99,Maximum Diversification Lagrangian,ok,Volatility Forecasting & Portfolio Optimization,L = w^T sigma - lam(w^T S w - 1) - gam(w^T 1 - 1),"lambda, gamma = Lagrange multipliers  ;  w = weights, sigma = volatility vector  ;  Sigma = covariance matrix",Optimize diversification while enforcing the risk and weight constraints.,Analytical form of maximum diversification.
100,First-Order Conditions for Maximum Diversification,ok,Volatility Forecasting & Portfolio Optimization,sigma - 2 lam S w - gam 1 = 0; constraints = 0,"sigma = volatility vector, Sigma = covariance  ;  w = weights, lambda, gamma = multipliers",Conditions that identify the optimal maximum-diversification portfolio.,Portfolio optimization math.
101,Deep Learning Mean-Variance Portfolio Objective,ok,Deep Learning for Portfolio Optimization,max E(r) - (lam/2)Var(r) s.t. ||w||_1 = 1,"w_t = portfolio weights at time t  ;  r_{p,t+1} = next-period portfolio return  ;  lambda = risk aversion  ;  n = number of assets","Maximize expected return minus a variance penalty, with absolute weights summing to one.",Differentiable deep-learning portfolio optimization.
102,Neural Network Portfolio Weight Function,ok,Deep Learning for Portfolio Optimization,w_t = f(X_t),w_t = portfolio weights  ;  X_t = network inputs (market data)  ;  f = neural network,A neural network maps market data directly into portfolio weights.,End-to-end portfolio construction.
103,Score Block / Fitness Score Network,ok,Deep Learning for Portfolio Optimization,"s_t = (s_1,...,s_N)^T = f_scores(X_t)","s_t = vector of asset fitness scores  ;  s_{i,t} = score for asset i  ;  f_scores = score network  ;  X_t = input data",First produce scores indicating which assets deserve larger weights.,Separates scoring from the portfolio-constraint transformation.
104,Portfolio Block Signed-Softmax Weights,ok,Deep Learning for Portfolio Optimization,w_i = sign(s_i) e^{|s_i|} / sum_j e^{|s_j|},"w_{i,t} = weight for asset i  ;  s_{i,t} = score  ;  sign(.) = long / short direction  ;  N = number of assets",Turn score signs into long/short direction and score magnitudes into allocation size.,Differentiable long-short portfolio weighting.
105,Global Minimum Variance Portfolio Objective,ok,Deep Learning for Portfolio Optimization,"min Var(r_{p,t+1})","w_t = portfolio weights  ;  r_{p,t+1} = next-period portfolio return",Find the weights that minimize portfolio variance.,Risk-first portfolio construction.
106,Maximum Sharpe Ratio Portfolio Objective,ok,Deep Learning for Portfolio Optimization,"max E(r_{p,t+1}) / Std(r_{p,t+1})","E = expected return  ;  Std = standard deviation  ;  r_{p,t+1} = portfolio return",Maximize return per unit of risk.,Central portfolio performance objective.
107,Long-Only Softmax Constraint,ok,Deep Learning for Portfolio Optimization,w_i = e^{s_i} / sum_j e^{s_j},"w_{i,t} = nonnegative portfolio weight  ;  s_{i,t} = score  ;  n = number of assets",Softmax converts scores into positive weights that sum to one.,Long-only differentiable portfolio construction.
108,Maximum Position Constraint (Generalized Sigmoid),ok,Deep Learning for Portfolio Optimization,w_i = sign(s_i) phi_a(|s_i|)/sum phi_a; phi_a(x)=a+1/(1+e^-x),u = maximum position limit  ;  a = generalized-sigmoid offset (chosen from u)  ;  phi_a = generalized sigmoid transform,Limit how large any single position can become.,Risk control through differentiable position constraints.
109,Cardinality Constraint Portfolio Construction,ok,Deep Learning for Portfolio Optimization,w_i = 1/2 long-softmax - 1/2 short-softmax over thresholds,d_u = upper score threshold  ;  d_l = lower score threshold  ;  s~_t = sorted scores  ;  k = cutoff index,Only the strongest long and short candidates receive weights.,Controls the number of active holdings (cardinality).
110,NeuralSort Sorting Matrix Construction,ok,Deep Learning for Portfolio Optimization,"Lambda_{i,j} = (n+1-2i)s_j - sum_m |s_j - s_m|","Lambda^t = sorting score matrix  ;  s_{j,t} = score for asset j  ;  n = number of assets  ;  i = target rank index",Build a differentiable structure whose row-maxima encode a ranking.,Used for NeuralSort / differentiable sorting.
111,Permutation Matrix from Sorting Scores,ok,Deep Learning for Portfolio Optimization,"Pi_{i,j} = 1 if j = argmax(Lambda_{i,:}), else 0","Pi(s_t) = permutation / sorting matrix  ;  Lambda^t_{i,:} = row i of the sorting-score matrix",Hard sorting picks the largest value in each row to form a permutation.,Ranking is needed to apply cardinality constraints.
112,Differentiable Softmax Approximation to Sorting,ok,Deep Learning for Portfolio Optimization,"Pihat_{i,:} = softmax(Lambda_{i,:})",Pihat = soft permutation matrix  ;  softmax = differentiable approximation to argmax,Replace hard sorting with a differentiable soft sort.,Allows gradient descent to flow through ranking decisions.
113,Leverage Constraint Weight Transformation,ok,Deep Learning for Portfolio Optimization,w_i = L sign(s_i) e^{|s_i|}/sum_j e^{|s_j|},"L = leverage / gross-exposure factor  ;  s_{i,t} = score  ;  n = number of assets",Scale total exposure up or down while preserving the relative weights.,Implements leverage constraints in a differentiable portfolio.
114,Graph-HAR Model,ok,Graph-Based Volatility & Portfolio Models,"v_{d,t+1} = a + b v + g Ahat v  (daily/weekly/monthly)","v_d, v_w, v_m = daily / weekly / monthly volatility vectors  ;  Atilde = normalized adjacency matrix  ;  beta = own-volatility coefficients  ;  gamma = neighbor / spillover coefficients",Forecast volatility using each asset's own history and its neighbors' histories.,Captures cross-asset volatility spillovers.
115,GNN-HAR Model,ok,Graph-Based Volatility & Portfolio Models,"v_{d,t+1} = a + V_t b + H^l g;  H^l = sigma(Ahat H^{l-1} W^l)",V_t = volatility feature matrix  ;  H^(l) = graph neural representation  ;  A / Atilde = adjacency matrix  ;  W^(l) = trainable GNN weights,Replace linear neighbor aggregation with graph neural layers.,Models nonlinear cross-asset dependencies.
116,Graph-Based Portfolio GCN Layer,ok,Graph-Based Volatility & Portfolio Models,H^{l+1} = sigma(Ahat H^l W^l),H^(l) = graph node features  ;  Ahat = normalized adjacency matrix  ;  W^(l) = graph convolution weights  ;  sigma = activation,Update node / company / asset features by aggregating connected-neighbor information.,Graph-based portfolio construction.
117,Joint Prediction of Future Returns and Weights,ok,LLM / Hybrid Decision-Loss Models,"(r_{t+1:t+H}, w_{t+1:t+H}) = f(r_{t-L:t}, x_{t-L:t})","r = returns  ;  w = portfolio weights  ;  x = macroeconomic / text / feature inputs  ;  L = lookback window, H = forecast horizon  ;  f = predictive model",Use recent returns and features to forecast future returns and portfolio weights together.,Hybrid models combine time-series and contextual (e.g. LLM / macro) information.
118,Hybrid MSE plus Decision Loss,ok,LLM / Hybrid Decision-Loss Models,L = beta L_MSE + (1-beta) L_Decision,"L_MSE = prediction-error loss  ;  L_Decision = loss measuring suboptimal portfolio decisions  ;  beta = weighting parameter in [0, 1]","Train not only to predict accurately, but also to make better portfolio decisions.",Decision-aware machine learning for finance.
